id,text
494,Every Little Thing I Do - Soul for Real
495,I Believe - Blessid Union of Souls
496,I Got 5 On It - Luniz
497,If You Love Me - Brownstone
498,Misery - Soul Asylum
499,Take A Bow - Madonna
500,Waterfalls - TLC
501,All I Wanna Do - Sheryl Crow
502,Boombastic - Shaggy
503,Hold On - Jamie Walters
504,Back For Good - Take That
505,Dear Mama - 2Pac
506,You Gotta Be - Des’ree
507,Have You Ever Really Loved A Woman? - Bryan Adams
508,Here Comes The Hotstepper - Ini Kamoze
509,I Wish - Skee-Lo
510,Candy Rain - Soul for Real
511,Do You Sleep? - Lisa Loeb & Nine Stories
512,You Are Not Alone - Michael Jackson
513,Feel Me Flow - Naughty by Nature
514,Name - Goo Goo Dolls
515,This Is How We Do It - Montell Jordan
516,1st Of Tha Month - Bone Thugs-n-Harmony
517,Let Her Cry - Hootie & the Blowfish
518,Run-Around - Blues Traveler
519,Another Night - Real McCoy
520,I Wanna Be Down - Brandy
521,Run Away - Real McCoy
522,Keep Their Heads Ringin’ - Dr. Dre
523,Roll To Me - Del Amitri
524,You Don’t Know How It Feels - Tom Petty
525,Colors Of The Wind - Vanessa Williams
526,Hold My Hand - Hootie & the Blowfish
527,Strong Enough - Sheryl Crow
528,One More Chance - The Notorious B.I.G.
529,Cotton Eye Joe - Rednex
530,This Ain’t A Love Song - Bon Jovi
531,Brokenhearted - Brandy featuring Wanya Morris
532,Shy Guy - Diana King
533,Freak Like Me - Adina Howard
534,The Rhythm Of The Night - Corona
535,Before I Let You Go - Blackstreet
536,I Can Love You Like That - All-4-One
537,Who Can I Run To - Xscape
538,100% Pure Love - Crystal Waters
539,Don’t Take It Personal (JUST One Of Dem Days) - Monica
540,On Bended Knee - Boyz II Men
541,Red Light Special - TLC
542,As I Lay Me Down - Sophie B. Hawkins
543,How High - Redman/Method Man
544,I’ll Make Love To You - Boyz II Men
545,Ask Of You - Raphael Saadiq
546,"Hold Me, Thrill Me, Kiss Me, Kill Me - U2"
547,Water Runs Dry - Boyz II Men
548,He’s Mine - Mokenstef
549,I’m The Only One - Melissa Etheridge
550,Short Dick Man - 20 Fingers featuring Gillette
551,Bang And Blame - R.E.M.
552,Practice (WHAT You Preach) - Barry White
553,Sugar Hill - AZ
554,The Sweetest Days - Vanessa Williams
555,Sukiyaki - 4 P.M.
556,Can’t You See - Total featuring The Notorious B.I.G.
557,Constantly - Immature
558,No More I Love You’s - Annie Lennox
559,This Lil’ Game We Play - Subway featuring 702
560,Every Day Of The Week - Jade
561,In The House Of Stone And Light - Martin Page
562,Player’s Anthem - Junior M.A.F.I.A. featuring The Notorious B.I.G.
563,Freek’n You - Jodeci
564,I’d Lie For You (AND That’s The Truth) - Meat Loaf
565,I’ll Be There For You/You’re All I Need To Get - by Method Man featuring Mary J. Blige
566,Nobody - Keith Sweat featuring Athena Cage
567,Time - Hootie & the Blowfish
568,Hay - Crucial Conflict
569,Jealousy - Natalie Merchant
570,Be My Lover - La Bouche
571,Wonder - Natalie Merchant
572,1979 - The Smashing Pumpkins
573,No Diggity - Blackstreet featuring Dr. Dre
574,Sweet Dreams - La Bouche
575,Wonderwall - Oasis
576,Anything - 3T
577,Because You Loved Me - Celine Dion
578,Ironic - Alanis Morissette
579,Lady - D’Angelo
580,Give Me One Reason - Tracy Chapman
581,Count On Me - Whitney Houston featuring CeCe Winans
582,Hey Lover - LL Cool J
583,Always Be My Baby - Mariah Carey
584,Kiss From A Rose - Seal
585,Nobody Knows - The Tony Rich Project
586,You’ll See - Madonna
587,Breakfast At Tiffany’s - Deep Blue Something
588,Only Wanna Be With You - Hootie & the Blowfish
589,Only You - 112 featuring The Notorious B.I.G. and Mase
590,Twisted - Keith Sweat
591,Hook - Blues Traveler
592,Doin’ It - LL Cool J
593,One Sweet Day - Mariah Carey and Boyz II Men
594,Tha Crossroads - Bone Thugs-n-Harmony
595,Missing - Everything but the Girl
596,Beautiful Life - Ace of Base
597,Mouth - Merril Bainbridge
598,Fastlove - George Michael
599,If It Makes You Happy - Sheryl Crow
600,Roll To Me - Del Amitri
601,The World I Know - Collective Soul
602,Jesus To A Child - George Michael
603,Loungin - LL Cool J
604,Soon As I Get Home - Faith Evans
605,All The Things (YOUR Man Won’t Do) - Joe
606,Counting Blue Cars - Dishwalla
607,If Your Girl Only Knew - Aaliyah
608,Kissin’ You - Total
609,Until It Sleeps - Metallica
610,Who Will Save Your Soul - Jewel
611,Elevators (ME & You) - Outkast
612,One Of Us - Joan Osborne
613,Children - Robert Miles
614,Theme From Mission: Impossible - Adam Clayton and Larry Mullen
615,Where Do You Go - No Mercy
616,Diggin’ On You - TLC
617,Exhale (SHOOP Shoop) - Whitney Houston
618,Gangsta’s Paradise - Coolio featuring L.V.
619,Sittin’ Up In My Room - Brandy
620,"Touch Me, Tease Me - Case featuring Foxy Brown"
621,Insensitive - Jann Arden
622,Po Pimp - Do or Die featuring Twista
623,Woo Hah!! Got You All In Check - Busta Rhymes
624,Hit Me Off - New Edition
625,Not Gon’ Cry - Mary J. Blige
626,You’re The One - SWV
627,"1, 2, 3, 4 (SUMPIN’ New) - Coolio"
628,Free As A Bird - the Beatles
629,Who Do U Love - Deborah Cox
630,Down Low (NOBODY Has To Know) - R. Kelly featuring The Isley Brothers
631,I Want To Come Over - Melissa Etheridge
632,Key West Intermezzo (I Saw You First) - John Mellencamp
633,Set U Free - Planet Soul
634,You Remind Me Of Something - R. Kelly
635,Closer To Free - BoDeans
636,"Keep On, Keepin’ On - MC Lyte featuring Xscape"
637,"The Earth, The Sun, The Rain - Color Me Badd"
638,I Can’t Sleep Baby (IF I) - R. Kelly
639,Let’s Make A Night To Remember - Bryan Adams
640,Tell Me - Groove Theory
641,C’mon N’ Ride It (THE Train) - Quad City DJ’s
642,Old Man And Me (WHEN I Get To Heaven) - Hootie & the Blowfish
643,Tonite’s Tha Night - Kris Kross
644,Someone - SWV and Puff Daddy
645,Nobody - Keith Sweat
646,Pony - Ginuwine
647,On & On - Erykah Badu
648,Last Night - Az Yet
649,Everything - Mary J. Blige
650,Wannabe - Spice Girls
651,Hypnotize - The Notorious B.I.G.
652,I Want You - Savage Garden
653,Change The World - Eric Clapton
654,Return Of The Mack - Mark Morrison
655,Barbie Girl - Aqua
656,Cupid - 112
657,Honey - Mariah Carey
658,Semi-Charmed Life - Third Eye Blind
659,Criminal - Fiona Apple
660,What About Us - Total
661,Mo Money Mo Problems - The Notorious B.I.G. featuring Puff Daddy and Mase
662,Bitch - Meredith Brooks
663,All By Myself - Celine Dion
664,I Love You Always Forever - Donna Lewis
665,In My Bed - Dru Hill
666,No Time - Lil’ Kim featuring Puff Daddy
667,Un-Break My Heart - Toni Braxton
668,Your Woman - White Town
669,Get It Together - 702
670,Mmmbop - Hanson
671,You Make Me Wanna… - Usher
672,How Do I Live - LeAnn Rimes
673,2 Become 1 - Spice Girls
674,All For You - Sister Hazel
675,Fly Like An Eagle - Seal
676,Da’ Dip - Freak Nasty
677,I Shot The Sheriff - Warren G
678,I’ll Be - Foxy Brown featuring Jay-Z
679,Smile - Scarface featuring 2Pac and Johnny P.
680,When You Love A Woman - Journey
681,Secret Garden - Bruce Springsteen
682,I Finally Found Someone - Barbra Streisand and Bryan Adams
683,Every Time I Close My Eyes - Babyface
684,Step By Step - Whitney Houston
685,The Freshmen - The Verve Pipe
686,I Believe I Can Fly - R. Kelly
687,Look Into My Eyes - Bone Thugs-n-Harmony
688,Barely Breathing - Duncan Sheik
689,My Body - LSG
690,This Is For The Lover In You - Babyface featuring LL Cool J and Shalamar
691,This Is Your Night - Amber
692,For You I Will - Monica
693,Quit Playing Games (WITH My Heart) - Backstreet Boys
694,Where Do You Go - No Mercy
695,Sunny Came Home - Shawn Colvin
696,Building A Mystery - Sarah McLachlan
697,C U When U Get There - Coolio featuring 40 Thevz
698,Everyday Is A Winding Road - Sheryl Crow
699,The One I Gave My Heart To - Aaliyah
700,Feels So Good - Mase
701,Butta Love - Next
702,Ooh Aah… Just A Little Bit - Gina G
703,What Kind Of Man Would I Be - Mint Condition
704,Cold Rock A Party - MC Lyte
705,I Belong To You (EVERY Time I See Your Face) - Rome
706,"Not Tonight - Lil’ Kim featuring Da Brat, Left Eye, Missy Elliott and Angie Martinez"
707,Where Have All The Cowboys Gone? - Paula Cole
708,I Believe In You And Me - Whitney Houston
709,Gotham City - R. Kelly
710,4 Seasons Of Loneliness - Boyz II Men
711,G.H.E.T.T.O.U.T. - Changing Faces
712,Never Make A Promise - Dru Hill
713,Don’t Let Go (LOVE) - En Vogue
714,I’m Still In Love With You - New Edition
715,Don’t Wanna Be A Player - Joe
716,Invisible Man - 98 Degrees
717,My Love Is The Shhh! - Somethin’ for the People featuring Trina & Tamara
718,Do You Know (WHAT It Takes) - Robyn
719,Hard To Say I’m Sorry - Az Yet featuring Peter Cetera
720,I Miss My Homies - Master P featuring Pimp C & the Shocker
721,Up Jumps Da Boogie - Timbaland & Magoo featuring Missy Elliott and Aaliyah
722,Big Daddy - Heavy D
723,Say You’ll Be There - Spice Girls
724,You Should Be Mine (DON’T Waste Your Time) - Brian McKnight featuring Mase
725,My Baby Daddy - B-Rock and the Bizz
726,Don’t Cry For Me Argentina - Madonna
727,It’s All Coming Back To Me Now - Celine Dion
